Countries,0,1,2,3,4,5,6,7,8
Canada,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1799268695861.8,1552521512853.35,1526953791566.99
Cape Verde,1789333748.6799,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850470042.43281,1859898513.26858,1596800287.16405,1663008687.09505
Central African Republic,1985240986.18508,1981732633.92013,1986015906.25044,2195599556.73866,2169706564.05899,1518565298.35641,1702899386.14322,1583776805.96568,1755468136.86556
Chad,10351932604.4154,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10945989471.6286,10090922857.3905
Chile,179638496278574,172389498444621,218537551220071,252251992029442,267122320056702,278384332694359,260584090570988,243999477737.94,250036180921053
China,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11190992550229.5
Colombia,241710969502894,232494134119684,286103648654545,334454039093586,370574421703.06,381866608838.8,381112119657445,293481748240779,282856115393175
"Congo, Dem. Rep.",19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3886,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225
"Congo, Rep.",11859013280.9951,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348069,14177437982.2619,8553154580.39951,9035848070.90357
Costa Rica,30612932876.3523,30562361123.0103,37268635287.1516,42262697840.4212,46473128285.4629,49745088111.6217,50577769837691,54775994478.4981,57157992434219
Cote d'Ivoire,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,26790579775295,31273049200243,35343298113.5131,39633467835725,35389998638.9371
Croatia,70474602563.8396,62754161039069,59844207748.9473,62404149309.6847,56548374546.3441,58147688052.2904,57671307486.8132,49490142433.1046,51640880494.2725
Cyprus,27839724622.8212,25942664629.0636,25562264900.6622,27426994717.8204,25041397918.5404,24084559214.0202,23364707443.2798,19680625485.1946,20453761061.9469
Czech Republic,235718586901129,206179982164402,207477857918919,227948349666354,207376427020815,209402444996104,207818330723835,186829940545759,195090272402729
Denmark,353361056079716,321241396034248,321995350346501,344003209695606,327148899962146,343584385594132,352993633221281,302673037998602,311988101661744
Dominican Republic,48288967303.4896,48376555305.6902,53982886258.2205,57811180659.4545,60657780260.6792,62661773591.7203,66065015410.0468,68802092020.9448,72342967648.3354
Ecuador,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000
"Egypt, Arab Rep.",162818181818182,188982374700805,218888324504753,236001858960015,279372758361832,288586231501877,305529656458438,332698041030807,332927833278038
El Salvador,17986886200,17601616000,18447922400,20283783700,21386153000,21977401900,22585841200,23166030400,23912227500
Estonia,24194039255.8957,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26615854605.2787,22904456871.8171,23984296770.8115
Ethiopia,27066912635.2228,32437389116038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,73000980433.9486
Fiji,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4483416339.93854,4362128146.45309,4671313314.55578
Finland,283742493042332,251499027507641,247799815768477,273674236772815,256706466091089,269980111642898,272609288689575,232850788304513,239009517793721
France,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2465134297438.91
Gabon,15508574820.3516,12065138272.7538,14358584300.3006,18186478119.9582,17171447372.3334,17590745162.1326,18179752009.7489,14377324797637,14014369641.7689
"Gambia, The",965781078.206954,900639534.010899,951806368.699129,898290989.936018,910026155.731035,1367041584.96392,1259063629.83287,1394149615.02468,1442298542.44008
Georgia,12795044475201,10766809096.1694,11638536861.8315,14434619972.4072,15846474597.7447,16140047041.6347,16509305828.9648,13993546747.7492,14378016729.1587
Germany,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3898726503841.35,3381389338658.82,3495162856297.22
